英文詞彙,詞性,中文解釋
midnight,n,午夜；子夜 (名詞)
might,mv,可能；可以 (情態助動詞) (may的過去式，表更不確定或客氣)
mild,adj,溫和的；輕微的；味淡的 (形容詞)
mile,n,英里 (名詞)
milk,n,牛奶 (名詞)
millimetre,n,毫米；公釐 (名詞) (英式拼法 mm)
millimeter,n,毫米；公釐 (名詞) (美式拼法 mm)
million,n,百萬 (名詞)
mind,n,頭腦；心智；意見 (名詞) (例如: His mind was on other things.)
mind,v,介意；注意；照看 (動詞) (例如: Would you mind if I called tomorrow?; Mind your head!; Who's minding the baby for you?; Make your mind up, quickly!)
mine,pron,我的(東西) (代名詞)
mineral water,n,礦泉水 (名詞)
minimum,adj,最小的；最低的 (形容詞)
minimum,n,最小量；最低點 (名詞)
minus,prep,減去 (介係詞)
minute,n,分鐘；片刻；會議記錄(複數) (名詞)
mirror,n,鏡子 (名詞)
miserable,adj,悲慘的；痛苦的 (形容詞)
miss,v,想念；錯過；未擊中 (動詞)
Miss,n,小姐 (名詞) (用於未婚女性姓氏前)
missing,adj,失蹤的；缺少的 (形容詞)
mistake,n,錯誤 (名詞)
mix,v,混合；攪拌 (動詞)
mix,n,混合物 (名詞)
mobile,n,手機 (名詞) (mobile phone的縮寫，尤指英式)
mobile phone,n,手機 (名詞)
model,n,模型；模特兒；榜樣；型號 (名詞) (例如: It's cheap because it's last year's model.; She's a fashion model.)
modern,adj,現代的；時髦的 (形容詞)
moment,n,片刻；瞬間 (名詞)
money,n,錢；金錢 (名詞)
monkey,n,猴子 (名詞)
monster,n,怪物；怪獸 (名詞)
month,n,月份 (名詞)
monument,n,紀念碑；歷史遺跡 (名詞)
mood,n,心情；情緒 (名詞)
moon,n,月亮 (名詞)
more,adv,更；更多 (副詞) (much/many的比較級)
more,det,更多的 (限定詞) (much/many的比較級)
more,pron,更多的人/物 (代名詞)
morning,n,早晨；上午 (名詞)
mosquito,n,蚊子 (名詞)
most,adv,最；非常 (副詞) (much/many的最高級)
most,det,大部分的；最多的 (限定詞) (much/many的最高級)
most,pron,大部分；大多數 (代名詞)
mostly,adv,主要地；大部分 (副詞)
mother,n,母親 (名詞)
motorbike,n,摩托車 (名詞)
motorcycle,n,摩托車 (名詞)
motor-racing,n,賽車運動 (名詞)
motorway,n,高速公路 (名詞) (英式英語)
mountain,n,山 (名詞)
mouse,n,老鼠；滑鼠 (名詞) (複數mice)
moustache,n,鬍鬚 (名詞) (上唇的)
mouth,n,嘴巴；開口 (名詞)
move,v,移動；搬家；感動 (動詞)
movie,n,電影 (名詞) (美式英語)
movie star,n,電影明星 (名詞) (美式英語)
movie theater,n,電影院 (名詞) (美式英語)
MP3 player,n,MP3播放器 (名詞)
Mr,n,先生 (名詞) (用於男性姓氏前)
Mrs,n,太太；夫人 (名詞) (用於已婚女性姓氏前)
Ms,n,女士 (名詞) (用於女性姓氏前，不論已婚未婚)
much,adv,非常；很 (副詞)
much,det,許多的 (限定詞) (與不可數名詞連用)
much,pron,許多 (代名詞) (指不可數)
mug,n,馬克杯 (名詞)
mum,n,媽媽 (名詞) (英式口語)
museum,n,博物館 (名詞)
mushroom,n,蘑菇 (名詞)
music,n,音樂 (名詞)
musical,adj,音樂的；悅耳的 (形容詞)
musician,n,音樂家 (名詞)
must,mv,必須；一定 (情態助動詞)
multiply,v,乘以；增加 (動詞)
my,det,我的 (限定詞)
myself,pron,我自己 (代名詞) (反身代名詞)
mystery,n,謎；神秘事物 (名詞)
name,n,名字；名稱；名譽 (名詞)
name,v,命名；說出...的名字 (動詞)
narrow,adj,狹窄的 (形容詞)
nasty,adj,骯髒的；令人討厭的；惡毒的 (形容詞)
national,adj,國家的；民族的 (形容詞)
nationality,n,國籍 (名詞)
natural,adj,自然的；天生的 (形容詞)
nature,n,自然；本性；天性 (名詞) (例如: nature studies)
navy blue,adj,深藍色的；海軍藍的 (形容詞)
near,adv,在附近 (副詞)
near,prep,靠近；接近 (介係詞)
near,adj,近的 (形容詞)
nearby,adj,附近的 (形容詞)
nearby,adv,在附近 (副詞)
nearly,adv,幾乎；差不多 (副詞)
neat,adj,整潔的；整齊的 (形容詞)
necessary,adj,必要的；必需的 (形容詞)
neck,n,脖子；衣領 (名詞)
necklace,n,項鍊 (名詞)
need,v,需要；必須 (動詞)
negative,adj,否定的；負面的；消極的 (形容詞)
neighbour,n,鄰居 (名詞) (英式拼法)
neighbor,n,鄰居 (名詞) (美式拼法)
neighbourhood,n,鄰近地區；社區 (名詞) (英式拼法)
neighborhood,n,鄰近地區；社區 (名詞) (美式拼法)
neither,adv,也不 (副詞) (例如: She's not tall, and neither am I.)
neither,det,兩者都不 (限定詞) (例如: Neither child was hurt.)
neither,pron,兩者都不 (代名詞) (例如: They gave us two keys and neither worked.)
nephew,n,侄子；外甥 (名詞)
nervous,adj,緊張的；焦慮的 (形容詞) (例如: a nervous person; to feel nervous)
nest,n,巢；窩 (名詞)
net,n,網；網路 (名詞)
network,n,網路；網絡系統 (名詞)
never,adv,從未；決不 (副詞)
new,adj,新的 (形容詞)
news,n,新聞；消息 (名詞) (不可數)
newspaper,n,報紙 (名詞)
next,adj,下一個的；緊鄰的 (形容詞)
next,adv,其次；然後 (副詞)
next to,prep,在...旁邊；緊鄰 (介係詞)
nice,adj,好的；令人愉快的；友善的 (形容詞)
niece,n,侄女；外甥女 (名詞)
night,n,夜晚 (名詞)
nightclub,n,夜總會；夜店 (名詞)
nightlife,n,夜生活 (名詞)
nightmare,n,惡夢；夢魘 (名詞)
no,adv,不 (副詞)
no,det,沒有 (限定詞)
no,pron,沒有人/物 (代名詞)
nobody,pron,沒有人 (代名詞)
noise,n,噪音；聲音 (名詞)
noisy,adj,吵鬧的 (形容詞)
none,pron,沒有一個；一點也沒有 (代名詞)
noon,n,中午；正午 (名詞)
no one,pron,沒有人 (代名詞)
normal,adj,正常的；標準的 (形容詞)
normally,adv,通常；正常地 (副詞)
north,adj,北方的 (形容詞)
north,adv,向北方 (副詞)
north,n,北方 (名詞)
northeast,adj,東北的；東北方的 (形容詞)
northeast,n,東北；東北方 (名詞)
northern,adj,北方的；北部的 (形容詞)
northwest,adj,西北的；西北方的 (形容詞)
northwest,n,西北；西北方 (名詞)
nose,n,鼻子 (名詞)
not,adv,不；沒有 (副詞)
note,n,筆記；便條；音符；紙鈔(英式) (名詞) (例如: to write a note; a ten-pound note)
note,v,注意；記錄 (動詞) (例如: Please note.)
notebook,n,筆記本 (名詞)
notepaper,n,信紙；便條紙 (名詞)
nothing,pron,沒有什麼；無事 (代名詞)
notice,n,注意；通知；公告 (名詞) (例如: to read a notice; until further notice)
notice,v,注意到；察覺 (動詞) (例如: Did you notice anything wrong?)
noticeboard,n,佈告欄 (名詞) (英式)
novel,n,小說 (名詞)
now,adv,現在；立刻 (副詞)
nowadays,adv,現今；如今 (副詞)
nowhere,adv,任何地方都不；無處 (副詞)
number,n,數字；號碼；數量 (名詞) (例如: numbers 5 to 7; a large number of cars; What's your (phone) number?)
nurse,n,護士 (名詞)
object,n,物體；目標；受詞；反對 (名詞)
obvious,adj,明顯的；顯然的 (形容詞)
obviously,adv,明顯地；顯然地 (副詞)
occasion,n,場合；時機；特殊活動 (名詞)
occasionally,adv,偶爾；有時候 (副詞)
occupation,n,職業；佔據 (名詞)
ocean,n,海洋 (名詞)
o'clock,adv,...點鐘 (副詞)
of,prep,屬於...的；關於；由...製成 (介係詞)
of course,adv phr,當然 (副詞片語)
off,adv,離開；脫落；(電器)關掉；(食物)變壞 (副詞) (例如: The meeting is off.; I've got the afternoon off.)
off,prep,離開；從...脫落 (介係詞) (例如: It fell off the table.)
offer,n,提議；出價；優惠 (名詞)
offer,v,提供；提議；出價 (動詞)
office,n,辦公室；職位 (名詞)
officer,n,官員；軍官；警官 (名詞)
often,adv,經常；常常 (副詞)
oh,exclam,哦；噢 (感嘆詞)
oh dear,exclam,哎呀；天啊 (感嘆詞)
oil,n,油；石油 (名詞)
OK,adj,好的；可以的 (形容詞)
OK,exclam,好的；可以 (感嘆詞)
O.K.,adj,好的；可以的 (形容詞) (OK的另一種寫法)
okay,adj,好的；可以的 (形容詞) (OK的另一種寫法)
old,adj,老的；舊的 (形容詞)
old-fashioned,adj,老式的；過時的 (形容詞)
olive,n,橄欖；橄欖樹 (名詞)
omelette,n,煎蛋捲；歐姆蛋 (名詞) (英式拼法)
omelet,n,煎蛋捲；歐姆蛋 (名詞) (美式拼法)
on,adv,開著(電器)；繼續；穿上 (副詞)
on,prep,在...上面；關於；在(某天) (介係詞)
on board,prep phr,在船上/飛機上/火車上 (介片語)
on business,prep phr,出差 (介片語)
once,adv,一次；曾經 (副詞) (例如: once a year; I once saw him dancing.)
one,det,一個 (限定詞)
one,pron,一個(人/物)；任何人 (代名詞)
on fire,prep phr,著火 (介片語)
on foot,prep phr,步行 (介片語)
on holiday,prep phr,在度假 (介片語)
onion,n,洋蔥 (名詞)
online,adv,在線上；網路上 (副詞) (例如: to book/buy something online)
online,adj,線上的；網路的 (形容詞) (例如: an online printer)
only,adj,唯一的；僅有的 (形容詞)
only,adv,僅僅；只 (副詞)
on purpose,prep phr,故意地 (介片語)
on request,prep phr,應要求 (介片語)
on sale,prep phr,特價出售；出售中 (介片語)
on time,prep phr,準時 (介片語)
onto,prep,到...上面 (介係詞)
open,adj,開著的；開放的；坦率的 (形容詞)
open,v,打開；開張；開始 (動詞)
opening hours,n pl,營業時間 (名詞複數)
opera,n,歌劇 (名詞)
operate,v,操作；營運；動手術 (動詞)
operation,n,操作；營運；手術 (名詞)
opinion,n,意見；看法 (名詞)
opportunity,n,機會；時機 (名詞)
opposite,adj,相反的；對面的 (形容詞)
opposite,n,相反的人事物 (名詞)
opposite,prep,在...對面 (介係詞)
opposite,adv,在對面 (副詞)
option,n,選擇；選項 (名詞)
or,conj,或者；否則 (連接詞)
orange,adj,橙色的 (形容詞)
orange,n,柳橙；橙色 (名詞)
orchestra,n,管弦樂團 (名詞)
order,conj,為了 (連接詞) (in order to)
order,n,順序；命令；訂單 (名詞) (例如: to put something in order)
order,v,命令；訂購；點餐 (動詞) (例如: to order a meal)
ordinary,adj,普通的；平凡的 (形容詞)
organisation,n,組織；機構 (名詞) (英式拼法)
organization,n,組織；機構 (名詞) (美式拼法)
organise,v,組織；安排 (動詞) (英式拼法)
organize,v,組織；安排 (動詞) (美式拼法)
original,adj,最初的；原作的；有創意的 (形容詞)
other,adj,其他的；另外的 (形容詞)
other,pron,其他的人/物 (代名詞)
other,det,其他的 (限定詞)
otherwise,adv,否則；不然；用別的方法 (副詞)
ought,mv,應該 (情態助動詞) (ought to)
our,det,我們的 (限定詞)
ours,pron,我們的(東西) (代名詞)
ourselves,pron,我們自己 (代名詞) (反身代名詞)
out,adv,出去；在外；熄滅 (副詞)
outdoor,adj,戶外的 (形容詞)
outdoors,adv,在戶外 (副詞)
out of,prep,從...出來；用完；出於 (介係詞)
out of date,prep phr,過時的 (介片語)
out of order,prep phr,故障的 (介片語)
out of work,prep phr,失業的 (介片語)
outside,adv,在外面 (副詞)
outside,adj,外面的 (形容詞)
outside,prep,在...外面 (介係詞)
oven,n,烤箱 (名詞)
over,adv,結束；越過；遍及；超過 (副詞) (例如: over 40 people; to be over)
over,prep,在...上方；越過；遍及；關於；超過 (介係詞) (例如: I'm going over the road.; Several birds were flying over the roof of the school.)
overnight,adj,通宵的；一夜之間的 (形容詞)
overnight,adv,通宵；一夜之間 (副詞)
owe,v,欠(錢、情)；歸功於 (動詞)
own,adj,自己的 (形容詞) (例如: my own pen)
own,pron,自己的(東西) (代名詞) (例如: on my own)
own,v,擁有 (動詞) (例如: to own a car)
owner,n,物主；所有人 (名詞)
pack,v,打包；包裝；塞滿 (動詞) (例如: to pack a case)
packet,n,小包；小袋 (名詞)
page,n,頁 (名詞)
pain,n,疼痛；痛苦 (名詞)
painful,adj,疼痛的；令人痛苦的 (形容詞)
painter,n,畫家；油漆工 (名詞)
painting,n,繪畫；油畫 (名詞)
pair,n,一對；一雙 (名詞)
palace,n,宮殿 (名詞)
pale,adj,蒼白的；淺色的 (形容詞) (例如: pale blue)
pan,n,平底鍋 (名詞)
pants,n pl,褲子(美式)；內褲(英式) (名詞複數)
paper,n,紙；報紙；論文；文件 (名詞) (例如: a sheet of paper; a (news)paper)
paragraph,n,段落 (名詞)
parcel,n,包裹 (名詞)
pardon,exclam,對不起；請再說一遍 (感嘆詞) (例如: Pardon?)
parent,n,父母親 (名詞)
park,n,公園；停車場 (名詞) (例如: a public park)
park,v,停車 (動詞) (例如: to park a car)
parking,n,停車 (名詞)
parking lot,n,停車場 (名詞) (美式英語)
parrot,n,鸚鵡 (名詞)
part,n,部分；角色；零件 (名詞) (例如: a part of something)
partly,adv,部分地；在某種程度上 (副詞)
particular,adj,特別的；特定的；講究的 (形容詞) (例如: I love this CD - in particular the last song.)
particularly,adv,特別；尤其 (副詞)
partner,n,夥伴；搭檔；配偶 (名詞)
part time,adv,兼職地 (副詞)
part-time,adj,兼職的 (形容詞)
party,n,派對；政黨；一方 (名詞) (例如: a birthday party; a political party)
pass,n,通行證；及格；傳球 (名詞)
pass,v,通過；經過；傳遞；及格 (動詞) (例如: Several cars passed.; to pass the sugar; to pass an examination)
pass on,phr v,傳遞(訊息等) (片語動詞) (例如: Pass on the message.)
passenger,n,乘客；旅客 (名詞)
passport,n,護照 (名詞)
password,n,密碼 (名詞)
past,adj,過去的 (形容詞) (例如: the past few weeks)
past,n,過去 (名詞) (例如: in the past)
past,prep,經過；超過 (介係詞) (例如: It's half past one.)
pasta,n,義大利麵 (名詞)
path,n,小路；路徑 (名詞)
patient,adj,有耐心的 (形容詞) (例如: to be patient)
patient,n,病人 (名詞) (例如: a hospital patient)
pattern,n,圖案；模式；榜樣 (名詞)
pause,v,暫停；停頓 (動詞)
pavement,n,人行道 (名詞) (英式英語)
pay,n,薪水；付款 (名詞)
pay,v,付錢；付出 (動詞)
PC,n,個人電腦 (名詞) (personal computer)
pea,n,豌豆 (名詞)
peace,n,和平；平靜 (名詞)
peaceful,adj,和平的；平靜的 (形容詞)
peach,n,桃子 (名詞)
peak,n,山頂；高峰 (名詞)
peanut,n,花生 (名詞)
pear,n,梨子 (名詞)
pedestrian,n,行人 (名詞)
peel,v,削皮；剝皮 (動詞)
pen,n,筆 (名詞)
pence,n pl,便士(複數) (名詞複數) (penny的複數，英式貨幣)
pencil,n,鉛筆 (名詞)
pencil case,n,鉛筆盒 (名詞)
penfriend,n,筆友 (名詞)
penguin,n,企鵝 (名詞)
penny,n,便士(單數) (名詞) (英式貨幣)
people,n pl,人們；民族 (名詞複數)
pepper,n,胡椒；辣椒 (名詞) (例如: to pass the pepper (spice); red peppers (vegetable))
per,prep,每；每一 (介係詞)
percent,adv,百分之... (副詞)
perfect,adj,完美的；理想的 (形容詞)
perfectly,adv,完美地；完全地 (副詞)
perform,v,表演；執行；表現 (動詞)
performance,n,表演；表現；性能 (名詞)
performer,n,表演者 (名詞)
perfume,n,香水；香味 (名詞)
perhaps,adv,或許；可能 (副詞)
period,n,一段時間；時期；句號(美式) (名詞)
permanent,adj,永久的；長期的 (形容詞)
permission,n,允許；許可 (名詞)
permit,v,允許；許可 (動詞) (例如: Dogs are not permitted here.)
permitted,adj,被允許的 (形容詞)
person,n,人 (名詞)
personal,adj,個人的；私人的 (形容詞)
personally,adv,親自地；就個人而言 (副詞)
persuade,v,說服；勸服 (動詞)
pet,n,寵物 (名詞)
petrol,n,汽油 (名詞) (英式英語)
petrol station,n,加油站 (名詞) (英式英語)
pharmacy,n,藥局；藥房 (名詞)
phone,n,電話 (名詞)
phone,v,打電話 (動詞)
photo,n,照片 (名詞) (photograph的縮寫)
photocopy,n,影印本 (名詞)
photograph,n,照片 (名詞)
photograph,v,拍照 (動詞)
photographer,n,攝影師 (名詞)
photography,n,攝影術；攝影 (名詞)
phrase,n,片語；詞組 (名詞)
physics,n,物理學 (名詞)
piano,n,鋼琴 (名詞)
pick,v,挑選；採摘；拾起 (動詞)
pick up,phr v,撿起；接(人)；學會；(生意)好轉 (片語動詞) (例如: I picked up a pencil.; I'll pick up my sister from the station.)
picnic,n,野餐 (名詞)
picture,n,圖片；照片；電影 (名詞)
pie,n,派 (名詞) (一種烘烤食物)
piece,n,一塊；一片；一件 (名詞) (例如: a piece of cheese; to break into small pieces; a piece of furniture/advice)
pig,n,豬 (名詞)
pile,n,一堆 (名詞)
pill,n,藥丸 (名詞)
pillow,n,枕頭 (名詞)
pilot,n,飛行員；領航員 (名詞)
pin,n,大頭針；別針；密碼 (名詞)
pin,v,釘住；固定住 (動詞)
pineapple,n,鳳梨 (名詞)
pink,adj,粉紅色的 (形容詞)
pink,n,粉紅色 (名詞)
pipe,n,管子；煙斗 (名詞)
pirate,n,海盜 (名詞)
pitch,n,投球；場地(足球等)；音高 (名詞) (例如: football pitch)
pity,n,憐憫；可惜的事 (名詞) (例如: It's a pity you couldn't come to the party – it was great.)
pizza,n,披薩 (名詞)
place,n,地方；位置；名次 (名詞) (例如: a safe place; I've lost my place in the book.; third place in a race; London is a big place.)
plain,adj,樸素的；清楚的；平原的 (形容詞) (例如: It's plain to me. (clear); a plain T-shirt (no design))
plan,n,計畫；平面圖 (名詞) (例如: a street plan; a plan to do something)
plan,v,計畫；打算 (動詞)
plane,n,飛機；平面 (名詞)
planet,n,行星 (名詞)
plant,n,植物；工廠 (名詞)
plant,v,種植 (動詞)
plastic,adj,塑膠的 (形容詞)
plastic,n,塑膠 (名詞)
plate,n,盤子；金屬板 (名詞)
platform,n,月台；平台；講台 (名詞)
play,n,戲劇；玩耍；比賽 (名詞) (例如: a play at the theatre)
play,v,玩；演奏；扮演；比賽 (動詞) (例如: children playing; to play football; to play the guitar; to play a DVD; to play the part of someone (act))
player,n,運動員；演奏者；播放器 (名詞)
playground,n,遊樂場；操場 (名詞)
pleasant,adj,令人愉快的；舒適的 (形容詞)
please,exclam,請 (感嘆詞) (例如: Come in, please.)
please,v,使高興；取悅 (動詞) (例如: to please someone)
pleased,adj,高興的；滿意的 (形容詞)
pleasure,n,快樂；愉快 (名詞)
plenty,pron,大量；充足 (代名詞)
plug,n,插頭；塞子 (名詞) (例如: a plug for the bath; an electrical plug)
plus,prep,加上 (介係詞)
plus,conj,並且 (連接詞)
p.m.,adv,下午；晚上 (副詞) (post meridiem的縮寫)
pocket,n,口袋 (名詞)
pocket money,n,零用錢 (名詞) (英式)
podcast,n,播客 (名詞)
poem,n,詩 (名詞)
poet,n,詩人 (名詞)
poetry,n,詩歌；詩集 (名詞) (不可數)
point,n,點；尖端；要點；分數；時刻 (名詞) (例如: The pencil has no point on it.)
point,v,指向；指出 (動詞) (例如: to point at something)
police,n,警察；警方 (名詞) (常用作複數)
policeman,n,男警察 (名詞)
police officer,n,警官；警察 (名詞)
police station,n,警察局 (名詞)
polite,adj,有禮貌的 (形容詞)
political,adj,政治的 (形容詞)
politician,n,政治家；政客 (名詞)
politics,n,政治；政治學 (名詞)
pollution,n,污染 (名詞)
pool,n,水池；游泳池；撞球 (名詞) (例如: a swimming-pool)
poor,adj,貧窮的；差的；可憐的 (形容詞) (例如: She is very poor. (financial); the poor man (sympathy))
pop,n,流行音樂；砰然聲 (名詞) (例如: pop song/music/star/group)
popular,adj,受歡迎的；流行的；大眾的 (形容詞)
population,n,人口 (名詞)
port,n,港口；連接埠 (名詞)
position,n,位置；職位；姿勢；立場 (名詞)
positive,adj,積極的；肯定的；正面的 (形容詞)
possibility,n,可能性 (名詞)
possible,adj,可能的 (形容詞)
possibly,adv,可能地；或許 (副詞)
post,n,郵件；郵政；職位；柱子 (名詞) (例如: to send it by post)
post,v,郵寄；張貼 (動詞) (例如: to post a letter)
postcard,n,明信片 (名詞)
poster,n,海報 (名詞)
postman,n,郵差 (名詞) (英式)
post office,n,郵局 (名詞)
postpone,v,延期；延緩 (動詞)
pot,n,壺；鍋；盆 (名詞)
potato,n,馬鈴薯；土豆 (名詞)
pound,n,磅(重量單位)；英鎊(貨幣單位 £) (名詞)
pour,v,傾倒；湧出 (動詞)
powder,n,粉末；火藥 (名詞)
power,n,力量；權力；電力 (名詞)
powerful,adj,強大的；有力的 (形容詞)
practice,n,練習；實行；慣例；執業(醫生、律師) (名詞) (英式拼法)
practise,v,練習；實行；執業 (動詞) (英式拼法)
pray,v,祈禱；祈求 (動詞)
prayer,n,祈禱；禱文 (名詞)
predict,v,預測；預言 (動詞)
prefer,v,更喜歡；寧願 (動詞)
pregnant,adj,懷孕的 (形容詞)
preparation,n,準備；預備 (名詞)
prepare,v,準備；預備 (動詞)
prepared,adj,準備好的；有準備的 (形容詞)
prescription,n,處方；藥方 (名詞) (例如: medicine on a prescription)
present,adj,出席的；現在的 (形容詞) (例如: to be present; at the present time)
present,n,禮物；現在 (名詞) (例如: That will be all for the present.; I got some lovely birthday presents.)
present,v,呈現；贈送；介紹；主持 (動詞) (例如: The winners were presented with prizes.; She presents the late-night news.)
presentation,n,報告；呈現；頒贈 (名詞)
presenter,n,主持人；報告人 (名詞) (例如: a sports presenter)
president,n,總統；校長；總裁 (名詞)
press,v,按；壓；催促；熨燙 (動詞) (例如: to press a button; to press a suit)
pretty,adj,漂亮的；可愛的 (形容詞)
pretty,adv,相當；頗 (副詞)
prevent,v,預防；阻止 (動詞)
previous,adj,先前的；以前的 (形容詞)
previously,adv,先前；以前 (副詞)
price,n,價格；代價 (名詞)
primary school,n,小學 (名詞)
prince,n,王子 (名詞)
princess,n,公主 (名詞)
principal,adj,主要的；首要的 (形容詞)
print,v,印刷；打印；刊登 (動詞) (例如: to print a document)
printer,n,印表機；印刷商 (名詞)
prison,n,監獄 (名詞)
prisoner,n,囚犯 (名詞)
private,adj,私人的；私立的 (形容詞)
prize,n,獎品；獎金 (名詞)
probably,adv,大概；或許 (副詞)
problem,n,問題；難題 (名詞)
produce,v,生產；製造；產生；拿出 (動詞)
product,n,產品；產物 (名詞)
production,n,生產；製作；產量；作品 (名詞) (例如: film/music production; She wants to work in television production.)
profession,n,職業(尤指需專門知識或訓練的) (名詞)
professional,adj,專業的；職業的 (形容詞)
professional,n,專業人士 (名詞)
professor,n,教授 (名詞)
program,n,節目；計畫；程式 (名詞) (美式拼法) (例如: TV programme; computer program)
programme,n,節目；計畫 (名詞) (英式拼法)
progress,n,進步；進展 (名詞)
prohibited,adj,被禁止的 (形容詞)
project,n,計畫；專案；工程 (名詞) (例如: school/work project)
promise,n,承諾；保證 (名詞) (例如: to keep a promise)
promise,v,承諾；保證 (動詞) (例如: to promise to do something)
promote,v,促進；提升；推銷 (動詞)
pronounce,v,發音 (動詞) (例如: to pronounce a word correctly)
pronunciation,n,發音 (名詞)
proper,adj,適當的；合適的；正規的 (形容詞)
properly,adv,適當地；正確地 (副詞) (例如: My computer isn't working properly)
property,n,財產；房地產；特性 (名詞)
protect,v,保護 (動詞)
proud,adj,驕傲的；自豪的 (形容詞)
prove,v,證明；證實 (動詞)
provide,v,提供；供應 (動詞)
public,adj,公共的；公開的 (形容詞) (例如: public opinion; to make something public)
public,n,公眾；大眾 (名詞) (例如: to be open to the public)
public transport,n,大眾運輸 (名詞)
publish,v,出版；發表；公布 (動詞)
pull,v,拉；拖 (動詞)
pullover,n,套頭毛衣 (名詞)
pump,n,幫浦；打氣筒 (名詞) (例如: petrol/bike pump)
punish,v,懲罰 (動詞)
pupil,n,學生(尤指小學生)；瞳孔 (名詞)
puppy,n,小狗 (名詞)
pure,adj,純粹的；純淨的 (形容詞)
purple,adj,紫色的 (形容詞)
purple,n,紫色 (名詞)
purpose,n,目的；意圖 (名詞) (例如: He did it on purpose. (deliberately); The purpose of this meeting is to...)
purse,n,錢包(尤指女用)；手提包 (名詞)
push,n,推；推動 (名詞)
push,v,推；推動 (動詞)
put,v,放；放置 (動詞)
put away,phr v,收起來；儲存 (片語動詞) (例如: He put the book away.)
put down,phr v,放下；寫下；鎮壓 (片語動詞) (例如: She put her name down for the trip.)
put off,phr v,延期；拖延；使反感 (片語動詞) (例如: The meeting was put off until the following week.)
put on,phr v,穿上；戴上；上演；增加(體重)；打開(電器) (片語動詞) (例如: He put on a suit.; Can you put on the light?; He didn't want to put on weight.)
put out,phr v,熄滅；伸出；出版；使不便 (片語動詞) (例如: The fire was quickly put out.)
put through,phr v,接通(電話)；使經歷 (片語動詞) (例如: Can you put me through to the manager, please?)
put up,phr v,舉起；張貼；建造；提供住宿；提高(價格) (片語動詞) (例如: The company had to put up its prices.)
puzzle,n,謎；難題；拼圖 (名詞)
pyjamas,n pl,睡衣 (名詞複數) (英式拼法)
pajamas,n pl,睡衣 (名詞複數) (美式拼法)
qualification,n,資格；條件；合格證明 (名詞)
qualified,adj,合格的；有資格的 (形容詞)
quality,n,品質；特性 (名詞)
quantity,n,數量 (名詞)
quarter,n,四分之一；一刻鐘；季度；地區 (名詞)
queen,n,女王；皇后 (名詞)
question,n,問題；疑問；議題 (名詞) (例如: to ask a question; the question being discussed (subject))
questionnaire,n,問卷；調查表 (名詞)
queue,n,隊伍；行列 (名詞) (英式)
quick,adj,快的；迅速的 (形容詞)
quickly,adv,快地；迅速地 (副詞)
quiet,adj,安靜的；寧靜的 (形容詞)
quietly,adv,安靜地；悄悄地 (副詞)
quit,v,辭職；放棄；停止 (動詞)
quite,adv,相當；頗；完全 (副詞) (例如: Are you quite sure?; quite old)
quiz,n,小考；測驗；問答遊戲 (名詞)
rabbit,n,兔子 (名詞)
race,n,比賽；種族 (名詞) (例如: to win a race)
race,v,賽跑；競爭 (動詞) (例如: to race against fast runners (compete); to race home quickly (run))
racket,n,球拍；喧囂 (名詞) (例如: tennis racket)
radio,n,收音機；廣播 (名詞)
rail,n,鐵軌；欄杆 (名詞) (例如: to go by rail)
railway,n,鐵路 (名詞)
rain,n,雨；雨水 (名詞)
rain,v,下雨 (動詞)
raincoat,n,雨衣 (名詞)
rainforest,n,熱帶雨林 (名詞)
raise,v,舉起；提高；撫養；籌募 (動詞) (例如: to raise your arm; to raise prices)
range,n,範圍；幅度；山脈 (名詞)
rap,n,饒舌歌；說唱音樂；敲擊聲 (名詞) (例如: rap artist)
rare,adj,稀有的；罕見的；(牛排)三分熟的 (形容詞)
rarely,adv,很少；難得 (副詞)
rather,adv,相當；寧願；更確切地說 (副詞) (例如: She's rather tall for her age.; I'd rather go to the cinema than the theatre.; Shall we stay in tonight, rather than go out?)
raw,adj,生的；未加工的；原始的 (形容詞) (例如: raw meat)
reach,v,到達；達到；伸出手 (動詞)
react,v,反應；起化學反應 (動詞) (例如: He reacted quickly to the news.)
read,v,閱讀；朗讀；理解 (動詞)
reader,n,讀者；閱讀器 (名詞)
reading,n,閱讀；讀物 (名詞)
ready,adj,準備好的；現成的 (形容詞)
real,adj,真實的；真正的 (形容詞)
realise,v,意識到；實現 (動詞) (英式拼法) (例如: He realised it was true.)
realize,v,意識到；實現 (動詞) (美式拼法)
realistic,adj,現實的；實際的；逼真的 (形容詞)
reality,n,現實；真實 (名詞)
really,adv,真正地；非常 (副詞)
reason,n,理由；原因；理性 (名詞)
reasonable,adj,合理的；公道的；尚可的 (形容詞)
reasonably,adv,合理地；相當地 (副詞)
rebuild,v,重建 (動詞)
receipt,n,收據；收到 (名詞)
receive,v,收到；接待 (動詞)
recent,adj,最近的；近來的 (形容詞)
reception,n,接待；招待會；接收(訊號) (名詞)
receptionist,n,接待員 (名詞)
recipe,n,食譜；訣竅 (名詞)
recognise,v,認出；承認；意識到 (動詞) (英式拼法)
recognize,v,認出；承認；意識到 (動詞) (美式拼法)
recommend,v,推薦；建議 (動詞) (例如: to recommend someone/something)
record,n,記錄；唱片；最高紀錄 (名詞) (例如: to keep a record; to break a record)
record,v,記錄；錄製 (動詞) (例如: to record a song)
recording,n,錄音；錄影；唱片 (名詞)
